username, created_at, lng, lat, text
BobRaf4, Fri Jan 22 03:30:57 +0000 2021, -80.263517, 26.124507, @mtgreenee #ThankYou #ImpeachBidenNow #ImpeachharrisNow #ImpeachPelosiNow 
rnawyhousedogjm, Fri Jan 22 03:30:57 +0000 2021, -81.661524, 26.599808, @Sludge And? 
BryantGarvin, Fri Jan 22 03:30:57 +0000 2021, -111.726395, 40.382514, @TaylorHoliday @JeromySonne @jaketheadnerd @AaronOrendorff @scarusona @Trent_Kerth Threw it into a video as opposed… https://t.co/fqNwxRBps7 
HabsChronicle, Fri Jan 22 03:30:58 +0000 2021, -73.723025, 45.557830, @careypr25290929 9-3 
FrancophoneTank, Fri Jan 22 03:30:58 +0000 2021, -79.272570, 43.629311, @Girl_Lafleur Feels like a bargain that I got it at 6.5. 
nerinnaaa, Fri Jan 22 03:30:58 +0000 2021, -100.076888, 31.168893, @derekthesavage register as a service dog, i don’t pay for mine or didn’t requires a deposit 
CrazhHeadfirst, Fri Jan 22 03:30:58 +0000 2021, -77.017853, 39.008349, @42ozz Thx 
american_crown, Fri Jan 22 03:30:58 +0000 2021, -84.352444, 33.943457, @CillizzaCNN #FakeNews Queen 
tanika_davis, Fri Jan 22 03:30:58 +0000 2021, -76.615181, 39.396352, @AlecMacGillis @MDGBmore @centerstage_md It was really good!! 
TM72774, Fri Jan 22 03:30:58 +0000 2021, -79.980689, 40.431389, @SenTedCruz @town_ge Thats all part of the plan Senator!!! Come on man! 
birra_bunshine, Fri Jan 22 03:30:58 +0000 2021, -115.135165, 36.060964, Advice WELCOME: 🙏 
eraeholland, Fri Jan 22 03:30:58 +0000 2021, -121.469664, 38.561722, @nicolekamai @TiffanyMoonMD Kamy Kamy Kamy 🤦🏽‍♀️ 
CamilleLasin, Fri Jan 22 03:30:58 +0000 2021, -95.446486, 29.838495, “When love won't let you, walk awayAnd you can't help who you loveAnd you find yourself giving it awayWhen you,… https://t.co/3cnlvWgWHP 
TheRealMattMaes, Fri Jan 22 03:30:58 +0000 2021, -82.949623, 42.538802, They really fixed the count to get him out of office. I thought I was crazy. 
niyawiyaaaa, Fri Jan 22 03:30:58 +0000 2021, -98.540651, 29.417501, just be wearing things for fashion 
EmeraldFire1967, Fri Jan 22 03:30:59 +0000 2021, -83.804475, 27.698682, Me &amp; 75 million just like me! 
Shyshytv, Fri Jan 22 03:30:59 +0000 2021, -74.703982, 40.227929, 😂😂😂😂😂😂😂 
Summer_Stinson, Fri Jan 22 03:30:59 +0000 2021, -122.330602, 47.614817, @redmond_bowman I also was a lawyer for DWT, but after you left! 
ShelbyGray_, Fri Jan 22 03:30:59 +0000 2021, -85.824533, 41.504868, Apples and oranges Sean. You worked for a racist. Jen works for a man. 
jlakiaaa, Fri Jan 22 03:30:59 +0000 2021, -89.922029, 35.133521, ‼️ 
Priority_Planet, Fri Jan 22 03:30:59 +0000 2021, -76.620482, 39.284713, You don’t need a playlist. Shuffle your added songs. Use SoundHound to add stuff you hear out and about to your mus… https://t.co/NpFmgra1H7 
sharyelle_XO, Fri Jan 22 03:30:59 +0000 2021, -87.732013, 41.833585, @GabrielBenton12 Absolutely! 
berkdahjerk, Fri Jan 22 03:30:59 +0000 2021, -72.920917, 41.393470, Yeah play that shit again 
Streetaceutical, Fri Jan 22 03:30:59 +0000 2021, -97.285913, 32.779967, I got so many ideas drawn up im ready to create 
Bobsbeenhereb4, Fri Jan 22 03:30:59 +0000 2021, -84.133993, 34.008338, Yoooo!! 😩🤣🤣 
JUnder41, Fri Jan 22 03:30:59 +0000 2021, -91.682855, 41.976528, Iowa is letting Indiana hang around. They have no business being anywhere close in this game. And another weak call… https://t.co/6tJGaxqAxD 
